number_id,verdict,producer_path,registering_call,t8_coverage,search_evidence,notes
cap_inland_floor_wetness_fifth_4,PRODUCED,scripts/11_database/PACKv13_T0_register.py,scripts/11_database/PACKv13_T0_register.py:62,uncovered,"id-match over 341 tracked scripts / 832 tracked text files; match kind: template; 1 registrar, 0 other script, 0 non-script",T8 iterates this row but has no derivation path for it (recomputed = NOT RECOMPUTED)
cap_inland_floor_wetness_fifth_5,PRODUCED,scripts/11_database/PACKv13_T0_register.py,scripts/11_database/PACKv13_T0_register.py:62,uncovered,"id-match over 341 tracked scripts / 832 tracked text files; match kind: template; 1 registrar, 0 other script, 0 non-script",T8 iterates this row but has no derivation path for it (recomputed = NOT RECOMPUTED)
cap_residual_sd_water_quartile_1,PRODUCED,scripts/11_database/PACKv13_T0_register.py; scripts/11_database/amend_BC_quartile_sd_caveats.py,scripts/11_database/PACKv13_T0_register.py:82,uncovered,"id-match over 341 tracked scripts / 832 tracked text files; match kind: template; 2 registrar, 0 other script, 7 non-script",T8 iterates this row but has no derivation path for it (recomputed = NOT RECOMPUTED)
cap_residual_sd_water_quartile_2,PRODUCED,scripts/11_database/PACKv13_T0_register.py; scripts/11_database/amend_BC_quartile_sd_caveats.py,scripts/11_database/PACKv13_T0_register.py:82,uncovered,"id-match over 341 tracked scripts / 832 tracked text files; match kind: template; 2 registrar, 0 other script, 2 non-script",T8 iterates this row but has no derivation path for it (recomputed = NOT RECOMPUTED)
cap_residual_sd_water_quartile_3,PRODUCED,scripts/11_database/PACKv13_T0_register.py; scripts/11_database/amend_BC_quartile_sd_caveats.py,scripts/11_database/PACKv13_T0_register.py:82,uncovered,"id-match over 341 tracked scripts / 832 tracked text files; match kind: template; 2 registrar, 0 other script, 2 non-script",T8 iterates this row but has no derivation path for it (recomputed = NOT RECOMPUTED)
cap_residual_sd_water_quartile_4,PRODUCED,scripts/11_database/PACKv13_T0_register.py; scripts/11_database/amend_BC_quartile_sd_caveats.py,scripts/11_database/PACKv13_T0_register.py:82,uncovered,"id-match over 341 tracked scripts / 832 tracked text files; match kind: template; 2 registrar, 0 other script, 3 non-script",T8 iterates this row but has no derivation path for it (recomputed = NOT RECOMPUTED)
cap_weighted_r2_cropping_era,PRODUCED,scripts/11_database/FIG2_register_weighted_r2.py,scripts/11_database/FIG2_register_weighted_r2.py:32,uncovered,"id-match over 341 tracked scripts / 832 tracked text files; match kind: literal; 1 registrar, 0 other script, 0 non-script",T8 iterates this row but has no derivation path for it (recomputed = NOT RECOMPUTED)
cap_weighted_r2_post_management,PRODUCED,scripts/11_database/FIG2_register_weighted_r2.py,scripts/11_database/FIG2_register_weighted_r2.py:33,uncovered,"id-match over 341 tracked scripts / 832 tracked text files; match kind: literal; 1 registrar, 0 other script, 0 non-script",T8 iterates this row but has no derivation path for it (recomputed = NOT RECOMPUTED)
cap_weighted_r2_whole_record,PRODUCED,scripts/11_database/FIG2_register_weighted_r2.py,scripts/11_database/FIG2_register_weighted_r2.py:31,uncovered,"id-match over 341 tracked scripts / 832 tracked text files; match kind: literal; 1 registrar, 0 other script, 0 non-script",T8 iterates this row but has no derivation path for it (recomputed = NOT RECOMPUTED)
cropping_history_null_count,ORPHAN_SCRIPT,,,uncovered,"id-match over 341 tracked scripts / 832 tracked text files; match kind: literal; 0 registrar, 2 other script, 7 non-script",resolves into script(s) that do not write dim_headline_number: scripts/12_zone_stratum/regen_RPTSCOPE_claim_audit.py; scripts/13_pack/PACK1_build_workbook.py; T8 iterates this row but has no derivation path for it (recomputed = NOT RECOMPUTED)
dinan13_xsec_residual,ORPHAN_SCRIPT,,,uncovered,"id-match over 341 tracked scripts / 832 tracked text files; match kind: literal; 0 registrar, 1 other script, 1 non-script",resolves into script(s) that do not write dim_headline_number: scripts/13_pack/PACK1_build_workbook.py; T8 iterates this row but has no derivation path for it (recomputed = NOT RECOMPUTED)
floor_flood_intercept_64pdk,PRODUCED,scripts/11_database/build_REG1_gateB_register.py; scripts/11_database/repin_floor_flood_constants_precision.py; scripts/11_database/write_RPTSCOPE_R2.py,scripts/11_database/build_REG1_gateB_register.py:45,covered-passing,"id-match over 341 tracked scripts / 832 tracked text files; match kind: literal; 3 registrar, 3 other script, 13 non-script",
floor_flood_r_64pdk,PRODUCED,scripts/11_database/build_T10_gateD_register.py; scripts/11_database/build_T8_gateB_dim_headline_number.py,scripts/11_database/build_T10_gateD_register.py:175,covered-passing,"id-match over 341 tracked scripts / 832 tracked text files; match kind: literal; 2 registrar, 4 other script, 13 non-script",
floor_flood_residual_sd_64pdk,PRODUCED,scripts/11_database/build_REG1_gateB_register.py; scripts/11_database/write_RPTSCOPE_R2.py,scripts/11_database/build_REG1_gateB_register.py:50,covered-passing,"id-match over 341 tracked scripts / 832 tracked text files; match kind: literal; 2 registrar, 3 other script, 6 non-script",
floor_flood_rse_64pdk,PRODUCED,scripts/11_database/build_REG1_gateB_register.py,scripts/11_database/build_REG1_gateB_register.py:55,covered-passing,"id-match over 341 tracked scripts / 832 tracked text files; match kind: literal; 1 registrar, 1 other script, 4 non-script",
floor_flood_slope_64pdk,PRODUCED,scripts/11_database/build_T10_gateD_register.py; scripts/11_database/build_T8_gateB_dim_headline_number.py; scripts/11_database/repin_floor_flood_constants_precision.py; scripts/11_database/write_RPTSCOPE_R2.py,scripts/11_database/build_T10_gateD_register.py:173,covered-passing,"id-match over 341 tracked scripts / 832 tracked text files; match kind: literal; 4 registrar, 3 other script, 23 non-script",
gap_change_all_aeolian,PRODUCED,scripts/11_database/build_T8_gateB_dim_headline_number.py,scripts/11_database/build_T8_gateB_dim_headline_number.py:168,covered-passing,"id-match over 341 tracked scripts / 832 tracked text files; match kind: template; 1 registrar, 1 other script, 3 non-script",
gap_change_all_inland,PRODUCED,scripts/11_database/build_T8_gateB_dim_headline_number.py,scripts/11_database/build_T8_gateB_dim_headline_number.py:168,covered-passing,"id-match over 341 tracked scripts / 832 tracked text files; match kind: template; 1 registrar, 1 other script, 1 non-script",
gap_change_all_riverine,PRODUCED,scripts/11_database/build_T8_gateB_dim_headline_number.py,scripts/11_database/build_T8_gateB_dim_headline_number.py:168,covered-passing,"id-match over 341 tracked scripts / 832 tracked text files; match kind: template; 1 registrar, 1 other script, 1 non-script",
gap_change_non_flood_aeolian,PRODUCED,scripts/11_database/build_T8_gateB_dim_headline_number.py,scripts/11_database/build_T8_gateB_dim_headline_number.py:168,covered-passing,"id-match over 341 tracked scripts / 832 tracked text files; match kind: template; 1 registrar, 1 other script, 1 non-script",
gap_change_non_flood_inland,PRODUCED,scripts/11_database/build_T8_gateB_dim_headline_number.py,scripts/11_database/build_T8_gateB_dim_headline_number.py:168,covered-passing,"id-match over 341 tracked scripts / 832 tracked text files; match kind: template; 1 registrar, 1 other script, 1 non-script",
gap_change_non_flood_riverine,PRODUCED,scripts/11_database/build_T8_gateB_dim_headline_number.py,scripts/11_database/build_T8_gateB_dim_headline_number.py:168,covered-passing,"id-match over 341 tracked scripts / 832 tracked text files; match kind: template; 1 registrar, 1 other script, 1 non-script",
partreg_s1_intercept_115parts,PRODUCED,scripts/11_database/PARTREG_stage1_register.py,scripts/11_database/PARTREG_stage1_register.py:131,uncovered,"id-match over 341 tracked scripts / 832 tracked text files; match kind: literal; 1 registrar, 0 other script, 0 non-script",T8 iterates this row but has no derivation path for it (recomputed = NOT RECOMPUTED)
partreg_s1_r_115parts,PRODUCED,scripts/11_database/PARTREG_stage1_register.py,scripts/11_database/PARTREG_stage1_register.py:135,uncovered,"id-match over 341 tracked scripts / 832 tracked text files; match kind: literal; 1 registrar, 0 other script, 1 non-script",T8 iterates this row but has no derivation path for it (recomputed = NOT RECOMPUTED)
partreg_s1_residual_sd_115parts,PRODUCED,scripts/11_database/PARTREG_stage1_register.py,scripts/11_database/PARTREG_stage1_register.py:138,uncovered,"id-match over 341 tracked scripts / 832 tracked text files; match kind: literal; 1 registrar, 0 other script, 1 non-script",T8 iterates this row but has no derivation path for it (recomputed = NOT RECOMPUTED)
partreg_s1_slope_115parts,PRODUCED,scripts/11_database/PARTREG_stage1_register.py,scripts/11_database/PARTREG_stage1_register.py:129,uncovered,"id-match over 341 tracked scripts / 832 tracked text files; match kind: literal; 1 registrar, 0 other script, 3 non-script",T8 iterates this row but has no derivation path for it (recomputed = NOT RECOMPUTED)
partreg_s2_slope_cropping_era,PRODUCED,scripts/11_database/PARTREG_stage2_register.py,scripts/11_database/PARTREG_stage2_register.py:130,uncovered,"id-match over 341 tracked scripts / 832 tracked text files; match kind: literal; 1 registrar, 0 other script, 3 non-script",T8 iterates this row but has no derivation path for it (recomputed = NOT RECOMPUTED)
partreg_s2_slope_post_management,PRODUCED,scripts/11_database/PARTREG_stage2_register.py,scripts/11_database/PARTREG_stage2_register.py:136,uncovered,"id-match over 341 tracked scripts / 832 tracked text files; match kind: literal; 1 registrar, 0 other script, 3 non-script",T8 iterates this row but has no derivation path for it (recomputed = NOT RECOMPUTED)
partreg_s2_water_spread_ratio,PRODUCED,scripts/11_database/PARTREG_stage2_register.py,scripts/11_database/PARTREG_stage2_register.py:144,uncovered,"id-match over 341 tracked scripts / 832 tracked text files; match kind: literal; 1 registrar, 0 other script, 1 non-script",T8 iterates this row but has no derivation path for it (recomputed = NOT RECOMPUTED)
property_outside_mapped_ha,PRODUCED,scripts/11_database/build_T8_gateB_dim_headline_number.py,scripts/11_database/build_T8_gateB_dim_headline_number.py:194,covered-passing,"id-match over 341 tracked scripts / 832 tracked text files; match kind: literal; 1 registrar, 1 other script, 5 non-script",
ref_grazed_floor_aeolian,PRODUCED,scripts/11_database/build_T8_gateB_dim_headline_number.py,scripts/11_database/build_T8_gateB_dim_headline_number.py:119,covered-passing,"id-match over 341 tracked scripts / 832 tracked text files; match kind: template; 1 registrar, 2 other script, 9 non-script",
ref_grazed_floor_gap_3pdk_periodwise,PRODUCED,scripts/11_database/build_T10_gateD_register.py; scripts/11_database/build_T8_gateB_dim_headline_number.py,scripts/11_database/build_T10_gateD_register.py:180,uncovered,"id-match over 341 tracked scripts / 832 tracked text files; match kind: literal+template; 2 registrar, 2 other script, 10 non-script","pinned_value is NULL - deliberately unpinned, reason recorded in the registry"
ref_grazed_floor_gap_4pdk_1988_92,PRODUCED,scripts/11_database/build_T8_gateB_dim_headline_number.py,scripts/11_database/build_T8_gateB_dim_headline_number.py:79,covered-passing,"id-match over 341 tracked scripts / 832 tracked text files; match kind: literal+template; 1 registrar, 2 other script, 5 non-script",
ref_grazed_floor_inland,PRODUCED,scripts/11_database/build_T8_gateB_dim_headline_number.py,scripts/11_database/build_T8_gateB_dim_headline_number.py:119,covered-passing,"id-match over 341 tracked scripts / 832 tracked text files; match kind: template; 1 registrar, 2 other script, 5 non-script",
ref_grazed_floor_riverine,PRODUCED,scripts/11_database/build_T8_gateB_dim_headline_number.py,scripts/11_database/build_T8_gateB_dim_headline_number.py:119,covered-passing,"id-match over 341 tracked scripts / 832 tracked text files; match kind: template; 1 registrar, 2 other script, 6 non-script",
ref_grazed_gap_annual_ref3_excl29ca_mean,PRODUCED,scripts/11_database/write_RPTSCOPE_R2.py,scripts/11_database/write_RPTSCOPE_R2.py:104,covered-passing,"id-match over 341 tracked scripts / 832 tracked text files; match kind: literal; 1 registrar, 3 other script, 8 non-script",
ref_grazed_mean_cover_aeolian,PRODUCED,scripts/11_database/build_T8_gateB_dim_headline_number.py,scripts/11_database/build_T8_gateB_dim_headline_number.py:108,covered-passing,"id-match over 341 tracked scripts / 832 tracked text files; match kind: template; 1 registrar, 2 other script, 2 non-script",
ref_grazed_mean_cover_inland,PRODUCED,scripts/11_database/build_T8_gateB_dim_headline_number.py,scripts/11_database/build_T8_gateB_dim_headline_number.py:108,covered-passing,"id-match over 341 tracked scripts / 832 tracked text files; match kind: template; 1 registrar, 2 other script, 1 non-script",
ref_grazed_mean_cover_riverine,PRODUCED,scripts/11_database/build_T8_gateB_dim_headline_number.py,scripts/11_database/build_T8_gateB_dim_headline_number.py:108,covered-passing,"id-match over 341 tracked scripts / 832 tracked text files; match kind: template; 1 registrar, 2 other script, 6 non-script",
ref_paddock_flood_rank_bala26ca,ORPHAN_SCRIPT,,,covered-passing,"id-match over 341 tracked scripts / 832 tracked text files; match kind: literal; 0 registrar, 1 other script, 11 non-script",resolves into script(s) that do not write dim_headline_number: scripts/13_pack/PACK1_build_workbook.py
ref_paddock_flood_rank_bala27ca,ORPHAN_SCRIPT,,,covered-passing,"id-match over 341 tracked scripts / 832 tracked text files; match kind: literal; 0 registrar, 1 other script, 6 non-script",resolves into script(s) that do not write dim_headline_number: scripts/13_pack/PACK1_build_workbook.py
ref_paddock_flood_rank_bala28ca,ORPHAN_SCRIPT,,,covered-passing,"id-match over 341 tracked scripts / 832 tracked text files; match kind: literal; 0 registrar, 1 other script, 6 non-script",resolves into script(s) that do not write dim_headline_number: scripts/13_pack/PACK1_build_workbook.py
ref_paddock_flood_rank_bala29ca,ORPHAN_SCRIPT,,,covered-passing,"id-match over 341 tracked scripts / 832 tracked text files; match kind: literal; 0 registrar, 1 other script, 7 non-script",resolves into script(s) that do not write dim_headline_number: scripts/13_pack/PACK1_build_workbook.py
reg2_paddocks_1part_supported,PRODUCED,scripts/11_database/build_REG2_gateC_register.py,scripts/11_database/build_REG2_gateC_register.py:43,covered-passing,"id-match over 341 tracked scripts / 832 tracked text files; match kind: literal+template; 1 registrar, 1 other script, 3 non-script",
reg2_paddocks_2part_supported,PRODUCED,scripts/11_database/build_REG2_gateC_register.py,scripts/11_database/build_REG2_gateC_register.py:43,covered-passing,"id-match over 341 tracked scripts / 832 tracked text files; match kind: literal+template; 1 registrar, 1 other script, 3 non-script",
reg2_paddocks_3part_supported,PRODUCED,scripts/11_database/build_REG2_gateC_register.py,scripts/11_database/build_REG2_gateC_register.py:43,covered-passing,"id-match over 341 tracked scripts / 832 tracked text files; match kind: literal+template; 1 registrar, 1 other script, 3 non-script",
reg2_paddocks_lt60_dominance,PRODUCED,scripts/11_database/build_REG2_gateC_register.py,scripts/11_database/build_REG2_gateC_register.py:32,covered-passing,"id-match over 341 tracked scripts / 832 tracked text files; match kind: literal; 1 registrar, 1 other script, 3 non-script",
reg2_paddocks_lt75_dominance,PRODUCED,scripts/11_database/build_REG2_gateC_register.py,scripts/11_database/build_REG2_gateC_register.py:26,covered-passing,"id-match over 341 tracked scripts / 832 tracked text files; match kind: literal; 1 registrar, 1 other script, 4 non-script",
reg2_paddocks_single_community,PRODUCED,scripts/11_database/build_REG2_gateC_register.py,scripts/11_database/build_REG2_gateC_register.py:36,covered-passing,"id-match over 341 tracked scripts / 832 tracked text files; match kind: literal; 1 registrar, 1 other script, 3 non-script",
rptscope_canary_p1_paddock_floor_bala29ca,PRODUCED,scripts/11_database/write_RPTSCOPE_E_canaries.py,scripts/11_database/write_RPTSCOPE_E_canaries.py:32,covered-passing,"id-match over 341 tracked scripts / 832 tracked text files; match kind: literal; 1 registrar, 1 other script, 5 non-script",
rptscope_canary_p3_composition_share_bala29ca_inland,ORPHAN_SCRIPT,,,covered-passing,"id-match over 341 tracked scripts / 832 tracked text files; match kind: literal; 0 registrar, 1 other script, 3 non-script",resolves into script(s) that do not write dim_headline_number: scripts/11_database/test_T8_headline_reproduction.py
rptscope_canary_p5_recovering_parts_bala29ca,PRODUCED,scripts/11_database/write_RPTSCOPE_E_canaries.py,scripts/11_database/write_RPTSCOPE_E_canaries.py:52,covered-passing,"id-match over 341 tracked scripts / 832 tracked text files; match kind: literal; 1 registrar, 1 other script, 3 non-script",
s11_bala27ca_area_ha,NO_PRODUCER,,,uncovered,"id-match over 341 tracked scripts / 832 tracked text files; match kind: none; 0 registrar, 0 other script, 0 non-script",no occurrence anywhere in the tracked corpus; T8 iterates this row but has no derivation path for it (recomputed = NOT RECOMPUTED)
s11_bala27ca_share_inland,NO_PRODUCER,,,uncovered,"id-match over 341 tracked scripts / 832 tracked text files; match kind: none; 0 registrar, 0 other script, 0 non-script",no occurrence anywhere in the tracked corpus; T8 iterates this row but has no derivation path for it (recomputed = NOT RECOMPUTED)
s11_bala29ca_level_rank_aeolian,NO_PRODUCER,,,uncovered,"id-match over 341 tracked scripts / 832 tracked text files; match kind: none; 0 registrar, 0 other script, 0 non-script",no occurrence anywhere in the tracked corpus; T8 iterates this row but has no derivation path for it (recomputed = NOT RECOMPUTED)
s11_bala29ca_level_rank_inland,NO_PRODUCER,,,uncovered,"id-match over 341 tracked scripts / 832 tracked text files; match kind: none; 0 registrar, 0 other script, 0 non-script",no occurrence anywhere in the tracked corpus; T8 iterates this row but has no derivation path for it (recomputed = NOT RECOMPUTED)
s11_bala29ca_level_rank_riverine,NO_PRODUCER,,,uncovered,"id-match over 341 tracked scripts / 832 tracked text files; match kind: none; 0 registrar, 0 other script, 0 non-script",no occurrence anywhere in the tracked corpus; T8 iterates this row but has no derivation path for it (recomputed = NOT RECOMPUTED)
s11_bala29ca_share_aeolian,NO_PRODUCER,,,uncovered,"id-match over 341 tracked scripts / 832 tracked text files; match kind: none; 0 registrar, 0 other script, 0 non-script",no occurrence anywhere in the tracked corpus; T8 iterates this row but has no derivation path for it (recomputed = NOT RECOMPUTED)
s11_bala29ca_share_inland,NO_PRODUCER,,,uncovered,"id-match over 341 tracked scripts / 832 tracked text files; match kind: none; 0 registrar, 0 other script, 0 non-script",no occurrence anywhere in the tracked corpus; T8 iterates this row but has no derivation path for it (recomputed = NOT RECOMPUTED)
s11_bala29ca_share_riverine,NO_PRODUCER,,,uncovered,"id-match over 341 tracked scripts / 832 tracked text files; match kind: none; 0 registrar, 0 other script, 0 non-script",no occurrence anywhere in the tracked corpus; T8 iterates this row but has no derivation path for it (recomputed = NOT RECOMPUTED)
s11_dinan10_adjusted_trend_rank_desc,NO_PRODUCER,,,uncovered,"id-match over 341 tracked scripts / 832 tracked text files; match kind: none; 0 registrar, 0 other script, 0 non-script",no occurrence anywhere in the tracked corpus; T8 iterates this row but has no derivation path for it (recomputed = NOT RECOMPUTED)
s11_dinan10_area_aeolian_ha,NO_PRODUCER,,,uncovered,"id-match over 341 tracked scripts / 832 tracked text files; match kind: none; 0 registrar, 0 other script, 0 non-script",no occurrence anywhere in the tracked corpus; T8 iterates this row but has no derivation path for it (recomputed = NOT RECOMPUTED)
s11_dinan10_area_inland_ha,NO_PRODUCER,,,uncovered,"id-match over 341 tracked scripts / 832 tracked text files; match kind: none; 0 registrar, 0 other script, 0 non-script",no occurrence anywhere in the tracked corpus; T8 iterates this row but has no derivation path for it (recomputed = NOT RECOMPUTED)
s11_dinan10_area_riverine_ha,NO_PRODUCER,,,uncovered,"id-match over 341 tracked scripts / 832 tracked text files; match kind: none; 0 registrar, 0 other script, 0 non-script",no occurrence anywhere in the tracked corpus; T8 iterates this row but has no derivation path for it (recomputed = NOT RECOMPUTED)
s11_dinan10_area_whole_ha,NO_PRODUCER,,,uncovered,"id-match over 341 tracked scripts / 832 tracked text files; match kind: none; 0 registrar, 0 other script, 0 non-script",no occurrence anywhere in the tracked corpus; T8 iterates this row but has no derivation path for it (recomputed = NOT RECOMPUTED)
s11_dinan10_riverine_part_trend_adj,NO_PRODUCER,,,uncovered,"id-match over 341 tracked scripts / 832 tracked text files; match kind: none; 0 registrar, 0 other script, 0 non-script",no occurrence anywhere in the tracked corpus; T8 iterates this row but has no derivation path for it (recomputed = NOT RECOMPUTED)
s11_dinan10_riverine_trend_rank_desc,NO_PRODUCER,,,uncovered,"id-match over 341 tracked scripts / 832 tracked text files; match kind: none; 0 registrar, 0 other script, 0 non-script",no occurrence anywhere in the tracked corpus; T8 iterates this row but has no derivation path for it (recomputed = NOT RECOMPUTED)
s11_dinan10_water_adjusted_floor_trend,NO_PRODUCER,,,uncovered,"id-match over 341 tracked scripts / 832 tracked text files; match kind: none; 0 registrar, 0 other script, 0 non-script",no occurrence anywhere in the tracked corpus; T8 iterates this row but has no derivation path for it (recomputed = NOT RECOMPUTED)
s11_median_adjusted_floor_trend,NO_PRODUCER,,,uncovered,"id-match over 341 tracked scripts / 832 tracked text files; match kind: none; 0 registrar, 0 other script, 0 non-script",no occurrence anywhere in the tracked corpus; T8 iterates this row but has no derivation path for it (recomputed = NOT RECOMPUTED)
s11_paddocks_dominance_60_75,NO_PRODUCER,,,uncovered,"id-match over 341 tracked scripts / 832 tracked text files; match kind: none; 0 registrar, 0 other script, 0 non-script",no occurrence anywhere in the tracked corpus; T8 iterates this row but has no derivation path for it (recomputed = NOT RECOMPUTED)
s11_paddocks_dominance_75_90,NO_PRODUCER,,,uncovered,"id-match over 341 tracked scripts / 832 tracked text files; match kind: none; 0 registrar, 0 other script, 0 non-script",no occurrence anywhere in the tracked corpus; T8 iterates this row but has no derivation path for it (recomputed = NOT RECOMPUTED)
s11_paddocks_dominance_90_100,NO_PRODUCER,,,uncovered,"id-match over 341 tracked scripts / 832 tracked text files; match kind: none; 0 registrar, 0 other script, 0 non-script",no occurrence anywhere in the tracked corpus; T8 iterates this row but has no derivation path for it (recomputed = NOT RECOMPUTED)
s11_paddocks_negative_adjusted_trend,NO_PRODUCER,,,uncovered,"id-match over 341 tracked scripts / 832 tracked text files; match kind: none; 0 registrar, 0 other script, 0 non-script",no occurrence anywhere in the tracked corpus; T8 iterates this row but has no derivation path for it (recomputed = NOT RECOMPUTED)
spat1_n_eff_paddock_all,PRODUCED,scripts/14_diag/SPAT1_stageA_effective_n.py,scripts/14_diag/SPAT1_stageA_effective_n.py:259,uncovered,"id-match over 341 tracked scripts / 832 tracked text files; match kind: template; 1 registrar, 0 other script, 1 non-script",T8 iterates this row but has no derivation path for it (recomputed = NOT RECOMPUTED)
spat1_n_eff_part_aeolian,PRODUCED,scripts/14_diag/SPAT1_stageA_effective_n.py,scripts/14_diag/SPAT1_stageA_effective_n.py:259,uncovered,"id-match over 341 tracked scripts / 832 tracked text files; match kind: template; 1 registrar, 0 other script, 1 non-script",T8 iterates this row but has no derivation path for it (recomputed = NOT RECOMPUTED)
spat1_n_eff_part_all,PRODUCED,scripts/14_diag/SPAT1_stageA_effective_n.py,scripts/14_diag/SPAT1_stageA_effective_n.py:259,uncovered,"id-match over 341 tracked scripts / 832 tracked text files; match kind: template; 1 registrar, 0 other script, 1 non-script",T8 iterates this row but has no derivation path for it (recomputed = NOT RECOMPUTED)
spat1_n_eff_part_inland,PRODUCED,scripts/14_diag/SPAT1_stageA_effective_n.py,scripts/14_diag/SPAT1_stageA_effective_n.py:259,uncovered,"id-match over 341 tracked scripts / 832 tracked text files; match kind: template; 1 registrar, 0 other script, 1 non-script",T8 iterates this row but has no derivation path for it (recomputed = NOT RECOMPUTED)
spat1_n_eff_part_riverine,PRODUCED,scripts/14_diag/SPAT1_stageA_effective_n.py,scripts/14_diag/SPAT1_stageA_effective_n.py:259,uncovered,"id-match over 341 tracked scripts / 832 tracked text files; match kind: template; 1 registrar, 0 other script, 1 non-script",T8 iterates this row but has no derivation path for it (recomputed = NOT RECOMPUTED)
spat1_n_eff_pixel_aeolian,PRODUCED,scripts/14_diag/SPAT1_stageA_effective_n.py,scripts/14_diag/SPAT1_stageA_effective_n.py:259,uncovered,"id-match over 341 tracked scripts / 832 tracked text files; match kind: template; 1 registrar, 0 other script, 1 non-script",T8 iterates this row but has no derivation path for it (recomputed = NOT RECOMPUTED)
spat1_n_eff_pixel_all,PRODUCED,scripts/14_diag/SPAT1_stageA_effective_n.py,scripts/14_diag/SPAT1_stageA_effective_n.py:259,uncovered,"id-match over 341 tracked scripts / 832 tracked text files; match kind: template; 1 registrar, 0 other script, 1 non-script",T8 iterates this row but has no derivation path for it (recomputed = NOT RECOMPUTED)
spat1_n_eff_pixel_inland,PRODUCED,scripts/14_diag/SPAT1_stageA_effective_n.py,scripts/14_diag/SPAT1_stageA_effective_n.py:259,uncovered,"id-match over 341 tracked scripts / 832 tracked text files; match kind: template; 1 registrar, 0 other script, 1 non-script",T8 iterates this row but has no derivation path for it (recomputed = NOT RECOMPUTED)
spat1_n_eff_pixel_riverine,PRODUCED,scripts/14_diag/SPAT1_stageA_effective_n.py,scripts/14_diag/SPAT1_stageA_effective_n.py:259,uncovered,"id-match over 341 tracked scripts / 832 tracked text files; match kind: template; 1 registrar, 0 other script, 1 non-script",T8 iterates this row but has no derivation path for it (recomputed = NOT RECOMPUTED)
