ruling_id,first_seen_date,first_seen_kind,first_seen_where,classification,provoking_task,evidence
DP,2026-08-09,REPORT,Output/runs/RUN_PARTSCATTER_20260809.md,REACTIVE,PARTSCATTER,"8bd0341f PARTSCATTER: the part-grain scatter, 100 areas and the 115 explained"
DQ,2026-08-09,COMMIT_SUBJECT,(commit subject only),REACTIVE,,"3b5a1c48 Rulings DQ, DR and DS: the tercile cut reframed as a trade-off, DM closed, and t"
DR,2026-08-09,COMMIT_SUBJECT,(commit subject only),REACTIVE,,"3b5a1c48 Rulings DQ, DR and DS: the tercile cut reframed as a trade-off, DM closed, and t"
DS,2026-08-09,COMMIT_SUBJECT,(commit subject only),REACTIVE,,"3b5a1c48 Rulings DQ, DR and DS: the tercile cut reframed as a trade-off, DM closed, and t"
DT,2026-08-09,REPORT,R/gayini_dash2_panels.R,REACTIVE,DASH2,"59821026 DASH2 consolidation: DZ gates run, the marker removed, and the printed subset sh"
EA,2026-08-09,REPORT,docs/reference_update/Gayini_caption_register.md,REACTIVE,DASH3,"b05d6bdc DASH3: the three held items closed, EC applied to both products, and the DY path"
EB,2026-08-09,REPORT,Output/runs/RUN_PARTSCATTER_20260809.md,REACTIVE,PARTSCATTER,"de3f5017 PARTSCATTER A1-A5: the opacity channel, r per community, and Ruling EH promoted"
EC,2026-08-09,REPORT,R/diag/TEMPORAL1_figure.R,REACTIVE,DASH3,"b05d6bdc DASH3: the three held items closed, EC applied to both products, and the DY path"
EE,2026-08-09,REPORT,R/gayini_dash2_panels.R,REACTIVE,EE,"c0af6f34 EE final render: three strings, and a fourth the third one forced"
EH,2026-08-09,COMMIT_SUBJECT,(commit subject only),REACTIVE,PARTSCATTER,"de3f5017 PARTSCATTER A1-A5: the opacity channel, r per community, and Ruling EH promoted"
EI,2026-08-09,COMMIT_SUBJECT,(commit subject only),REACTIVE,,"f02f04e2 Rulings EB and EI issued: the parallel-session rule, and the qualifier gap named"
EK,2026-08-09,REPORT,Output/runs/RUN_UNZONED_V3_20260810.md,REACTIVE,UNZONED,"4c68c76f EK, EL, EM: the comparator refitted, and the size slope put on the face"
EL,2026-08-09,REPORT,Output/runs/RUN_UNZONED_V3_20260810.md,REACTIVE,UNZONED,"4c68c76f EK, EL, EM: the comparator refitted, and the size slope put on the face"
EM,2026-08-09,REPORT,Output/runs/RUN_UNZONED_V3_20260810.md,REACTIVE,UNZONED,"4c68c76f EK, EL, EM: the comparator refitted, and the size slope put on the face"
EN,2026-08-10,REPORT,Output/unzoned/UNZONED_v3_findings_note.md,REACTIVE,EN,"b3b9d674 EN and EO: +3.39 registered, and the claim narrowed to the response"
EO,2026-08-10,GOVERNANCE,docs/Gayini_issues_log.md,GOVERNANCE_FIRST,EN,"b3b9d674 EN and EO: +3.39 registered, and the claim narrowed to the response"
EP,2026-08-10,COMMIT_SUBJECT,(commit subject only),REACTIVE,,"637706e8 Ruling EP: the protected set comes from the registry, and the list was wrong bot"
EQ,2026-08-10,COMMIT_SUBJECT,(commit subject only),REACTIVE,M5,"1fb26d45 M5 and Ruling EQ: the unzoned country on its own terms, and extent gets a denomi"
ER,2026-08-10,REPORT,scripts/14_diag/SPAT1_stageA_effective_n.py,REACTIVE,SPAT-1,"59d8914e SPAT-1 Stage 0 and Stage A: both caveats were right, by factors of 65 and 1.16"
ES,2026-08-11,GOVERNANCE,docs/Gayini_issues_log.md,GOVERNANCE_FIRST,SPAT-1,"5735b1bb SPAT-1 Stage B: the +3.57 is geographic, and Inland is scale-invariant"
ET,2026-08-11,REPORT,Output/spatial/SPAT1_findings_note.md,REACTIVE,SPAT-1,"5735b1bb SPAT-1 Stage B: the +3.57 is geographic, and Inland is scale-invariant"
EU,2026-08-11,REPORT,Output/spatial/SPAT1_findings_note.md,REACTIVE,SPAT-1,"5735b1bb SPAT-1 Stage B: the +3.57 is geographic, and Inland is scale-invariant"
EV,2026-08-11,COMMIT_SUBJECT,(commit subject only),REACTIVE,,"82ed80e7 Rulings EV, EW and the EB amendment, and the one file left dirty"
EW,2026-08-11,COMMIT_SUBJECT,(commit subject only),REACTIVE,,"82ed80e7 Rulings EV, EW and the EB amendment, and the one file left dirty"
